Id,1-1_small-sounding-engine_presence,1-2_medium-sounding-engine_presence,1-3_large-sounding-engine_presence,1-X_engine-of-uncertain-size_presence,1_engine_presence,2-1_rock-drill_presence,2-2_jackhammer_presence,2-X_other-unknown-impact-machinery_presence,2_machinery-impact_presence,3-1_non-machinery-impact_presence,3_non-machinery-impact_presence,4-1_chainsaw_presence,4-2_small-medium-rotating-saw_presence,4-3_large-rotating-saw_presence,4-X_other-unknown-powered-saw_presence,4_powered-saw_presence,5-1_car-horn_presence,5-3_siren_presence,5-4_reverse-beeper_presence,5_alert-signal_presence,6-1_stationary-music_presence,6-2_mobile-music_presence,6-X_music-from-uncertain-source_presence,6_music_presence,7-1_person-or-small-group-talking_presence,7-2_person-or-small-group-shouting_presence,7-4_amplified-speech_presence,7_human-voice_presence,8-1_dog-barking-whining_presence,8_dog_presence
1,6.24367308360254e-17,3.006635794144578e-39,3.0276952817227325e-18,0.973605215549469,0.7466189861297607,1.0,1.0,0.125021293759346,1.0,0.9999939203262329,0.9999939203262329,2.7258357704340597e-07,0.0005829761503264308,2.1290339779069184e-23,2.9303051870703317e-17,0.09811017662286758,3.351640774859458e-22,0.00012384109140839428,0.0027440886478871107,9.112444821065754e-14,3.006635794144578e-39,1.2679308557944635e-12,2.2165823878707514e-16,3.006635794144578e-39,1.0,0.0004987359861843288,0.0031479839235544205,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
2,2.0622195897902315e-20,3.006635794144578e-39,3.0276952817227325e-18,1.0,0.9792705774307251,1.0,1.0,5.653410184436325e-09,1.0,6.808764396737388e-08,6.808764396737388e-08,0.008317752741277218,2.0449820112844463e-06,1.298521354480478e-31,2.049720532193433e-10,4.958555441247903e-11,8.172683719007235e-27,0.0006348350434564054,2.3726299177846515e-14,8.015757021824917e-23,3.006635794144578e-39,1.24098234619411e-17,2.2165823878707514e-16,3.006635794144578e-39,2.460951364566255e-13,0.0004987359861843288,0.0020148742478340864,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
3,5.548759693906058e-13,3.006635794144578e-39,3.0276952817227325e-18,7.859302920099203e-32,1.0,4.915997851639986e-05,1.1120738463432644e-06,0.9999997615814209,3.9796252998197867e-22,2.7494663754623616e-06,2.7494663754623616e-06,0.7885800004005432,5.1308557885931805e-05,8.793056476557578e-36,3.006635794144578e-39,0.01546983327716589,8.172683719007235e-27,0.03462721407413483,0.9999910593032837,8.75533015012321e-22,3.006635794144578e-39,0.0023459987714886665,4.861466720822844e-16,3.006635794144578e-39,1.0,0.994724690914154,0.003145916387438774,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
4,1.777523455231526e-17,3.006635794144578e-39,3.0276952817227325e-18,3.9408205188356625e-27,0.9992115497589111,1.0,1.0,1.0,1.0,0.11103184521198273,0.11103184521198273,6.223169778438704e-19,2.0449820112844463e-06,6.90690293848247e-31,7.361593973298497e-12,1.3359859347820448e-14,3.18701127051305e-24,0.0006348350434564054,4.344964261971361e-14,8.015757021824917e-23,3.006635794144578e-39,1.24098234619411e-17,2.2165823878707514e-16,3.006635794144578e-39,5.06768083141651e-06,0.0004987359861843288,0.0022486140951514244,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
5,1.198880639725284e-16,3.006635794144578e-39,3.0276952817227325e-18,4.08177642752412e-30,1.0,0.7054892182350159,1.0,0.1801837831735611,1.5207852815696313e-24,3.0762703849924456e-23,3.0762703849924456e-23,3.9286910120459117e-28,1.3753749954048544e-05,0.00195348565466702,6.636367844148339e-11,1.568226971893072e-11,3.210240179661753e-26,5.0938325557581265e-08,6.202654983736159e-16,5.099963350152701e-32,3.006635794144578e-39,0.00040442324825562537,2.2165823878707514e-16,3.006635794144578e-39,3.006635794144578e-39,0.003887895029038191,0.0017648233333602548,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
6,1.0,3.006635794144578e-39,3.0276952817227325e-18,1.5393638075924882e-31,0.9999884366989136,1.3577204464876313e-11,0.0002730234118644148,0.9999998807907104,1.3811127128088682e-26,1.0,1.0,3.006635794144578e-39,1.3803646936594305e-07,3.006635794144578e-39,3.006635794144578e-39,2.1507687991695335e-11,6.104629776222836e-23,1.1203891858713177e-07,1.0,9.112444821065754e-14,3.006635794144578e-39,0.9668968915939331,3.096545567364355e-15,3.006635794144578e-39,1.0,0.9995001554489136,0.005700893700122833,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
7,2.0622195897902315e-20,3.006635794144578e-39,3.0276952817227325e-18,1.545088864749072e-30,0.968952476978302,1.0,0.0006868381169624627,5.653410184436325e-09,1.0,2.565852924626389e-23,2.565852924626389e-23,0.9999996423721313,1.0,3.126295826733713e-26,3.56809850762807e-13,4.293678954048197e-11,8.172683719007235e-27,0.0006348350434564054,1.483014400810391e-16,8.015757021824917e-23,3.006635794144578e-39,1.24098234619411e-17,2.2165823878707514e-16,3.006635794144578e-39,2.212863554038439e-25,0.0004987359861843288,0.0015908586792647839,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
8,0.028902322053909302,3.006635794144578e-39,3.0276952817227325e-18,3.0821145046098633e-34,0.8545010089874268,1.5402869951719467e-11,0.0010386196663603187,0.020361198112368584,4.602544356534008e-34,0.9952149391174316,0.9952149391174316,5.0506459130357325e-19,3.1293513984564925e-06,1.0281614446458389e-35,1.4912958120397233e-25,3.4501179899355403e-20,1.37948568719185e-26,1.0,9.511749529270241e-25,4.925328918612033e-22,0.006579992827028036,0.9999508857727051,6.214970313393644e-16,0.9701128005981445,1.0,1.0,1.1959964467678219e-05,1.0,7.962044179521399e-08,7.962044179521399e-08
9,1.0,3.006635794144578e-39,2.9338472770408185e-27,3.106430018516355e-34,3.006635794144578e-39,3.006635794144578e-39,3.282085714317873e-10,0.9999529123306274,2.162519576487406e-31,1.0,1.0,3.006635794144578e-39,9.686323743096636e-09,1.0522578552628709e-29,2.8001256928452077e-35,4.576484116114443e-07,1.3839644709812964e-28,0.1314195692539215,3.733015051898383e-20,1.5755439175535457e-09,1.0,1.0,0.00015318566875066608,0.9999978542327881,1.0,0.8551475405693054,0.0004196058725938201,1.0,0.006574655883014202,0.006574655883014202
10,1.033705795115171e-14,3.006635794144578e-39,3.0276952817227325e-18,1.3137004588497034e-34,3.006635794144578e-39,1.0948860484916167e-08,1.0,0.9290562868118286,0.0022271759808063507,1.0,1.0,0.9833626747131348,5.195785774958495e-07,3.983930128015345e-07,8.662410665859333e-22,0.20667220652103424,8.172683719007235e-27,0.00013377415598370135,1.0,2.9724226064144085e-32,3.006635794144578e-39,0.6012721657752991,5.470272114883015e-17,3.006635794144578e-39,3.006635794144578e-39,0.9501482248306274,0.0017993117216974497,0.9998996257781982,1.2688296247009845e-10,1.2688296247009845e-10
